col_18,col_19,col_6
"['8 GB RAM | 128 GB ROM', '16.51 cm (6.5 inch) HD+ Display', '50MP + 2MP | 16MP Front Camera', '5000 mAh Battery', 'Snapdragon 695 5G Processor', 'Vegan Leather Design', '1 Year on Handset and 6 Months on Accessories']","['₹11,999', '₹']","Motorola G34 5G (Ocean Green, 128 GB)"
"['8 GB RAM | 128 GB ROM', '16.51 cm (6.5 inch) HD+ Display', '50MP + 2MP | 16MP Front Camera', '5000 mAh Battery', 'Snapdragon 695 5G Processor', '1 Year on Handset and 6 Months on Accessories']","['₹11,999', '₹']","Motorola G34 5G (Charcoal Black, 128 GB)"
"['8 GB RAM | 128 GB ROM', '16.51 cm (6.5 inch) HD+ Display', '50MP + 2MP | 16MP Front Camera', '5000 mAh Battery', 'Snapdragon 695 5G Processor', '1 Year on Handset and 6 Months on Accessories']","['₹11,999', '₹']","Motorola G34 5G (Ice Blue, 128 GB)"
"['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) HD+ Display', '50MP + 2MP | 16MP Front Camera', '6000 mAh Battery', 'Helio G85 Processor', '1 Year on Handset and 6 Months on Accessories']","['₹7,999', '₹']","MOTOROLA g24 Power (Glacier Blue, 128 GB)"
"['6 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '17.12 cm (6.74 inch) HD Display', '108MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'T612 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']","['₹9,499', '₹']","realme C53 (Champion Gold, 128 GB)"
"['6 GB RAM | 64 GB ROM | Expandable Upto 2 TB', '17.12 cm (6.74 inch) HD Display', '108MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'T612 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']","['₹10,999', '₹']","realme C53 (Champion Gold, 64 GB)"
"['6 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '17.12 cm (6.74 inch) HD Display', '108MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'T612 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']","['₹9,499', '₹']","realme C53 (Champion Black, 128 GB)"
"['6 GB RAM | 64 GB ROM | Expandable Upto 2 TB', '17.12 cm (6.74 inch) HD Display', '108MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'T612 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']","['₹10,999', '₹']","realme C53 (Champion Black, 64 GB)"
"['2 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.56 cm (6.52 inch) HD+ Display', '8MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Helio G36 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']","['₹5,299', '₹']","REDMI A2 (Classic Black, 64 GB)"
"['8 GB RAM | 256 GB ROM', '17.07 cm (6.72 inch) Display', '108MP Rear Camera', '5000 mAh Battery', 'Domestic Warranty of 12 months on phone & 6 months on accessories']","['₹20,098', '₹']","OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)"
"['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) HD+ Display', '16MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Unisoc T606 Processor', '1 Year on Handset and 6 Months on Accessories']","['₹6,999', '₹']","MOTOROLA G04 (Sea Green, 64 GB)"
"['8 GB RAM | 256 GB ROM', '17.07 cm (6.72 inch) Display', '108MP Rear Camera', '5000 mAh Battery', 'Domestic Warranty of 12 months on phone & 6 months on accessories']","['₹19,975', '₹']","OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)"
"['12 GB RAM | 256 GB ROM', '16.64 cm (6.55 inch) Full HD+ Display', '50MP (OIS) + 8MP | 16MP Front Camera', '5000 mAh Battery', 'Snapdragon 695 Processor', '1 Year on Handset and 6 Months on Accessories']","['₹17,999', '₹']","Motorola g84 5G (Midnight Blue, 256 GB)"
"['8 GB RAM | 128 GB ROM', '17.07 cm (6.72 inch) Display', '108MP Rear Camera', '5000 mAh Battery', 'Domestic Warranty of 12 months on phone & 6 months on accessories']","['₹17,548', '₹']","OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)"
"['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) HD+ Display', '50MP + 2MP | 16MP Front Camera', '6000 mAh Battery', 'Helio G85 Processor', '1 Year on Handset and 6 Months on Accessories']","['₹8,999', '₹']","MOTOROLA g24 Power (Glacier Blue, 128 GB)"
"['8 GB RAM | 128 GB ROM', '17.07 cm (6.72 inch) Display', '108MP Rear Camera', '5000 mAh Battery', 'Domestic Warranty of 12 months on phone & 6 months on accessories']","['₹17,414', '₹']","OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)"
"['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) HD+ Display', '50MP + 2MP | 16MP Front Camera', '6000 mAh Battery', 'Helio G85 Processor', '1 Year on Handset and 6 Months on Accessories']","['₹8,999', '₹']","MOTOROLA g24 Power (Ink blue, 128 GB)"
"['2 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.56 cm (6.52 inch) HD+ Display', '8MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Helio G36 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']","['₹5,299', '₹']","REDMI A2 (Sea Green, 64 GB)"
"['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.12 cm (6.74 inch) HD+ Display', '50MP Rear Camera | 8MP Front Camera', '5000 mAh Battery', 'Helio G85 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']","['₹7,799', '₹']","REDMI 13C (Stardust Black, 128 GB)"
"['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.25 cm (6.79 inch) Full HD+ Display', '50MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Snapdragon 4 Gen 2 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']","['₹10,999', '₹']","POCO M6 Pro 5G (Forest Green, 128 GB)"
"['8 GB RAM | 128 GB ROM', '16.64 cm (6.55 inch) Full HD+ Display', '50MP + 13MP | 32MP Front Camera', '5000 mAh Battery', 'Dimensity 7030 Processor', '1 Year on Handset and 6 Months on Accessories']","['₹22,999', '₹']","Motorola Edge 40 Neo (Soothing Sea, 128 GB)"
"['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.12 cm (6.74 inch) HD+ Display', '50MP Rear Camera | 8MP Front Camera', '5000 mAh Battery', 'Helio G85 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']","['₹8,799', '₹']","REDMI 13C (Starshine Green, 128 GB)"
"['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.12 cm (6.74 inch) HD+ Display', '50MP Rear Camera | 8MP Front Camera', '5000 mAh Battery', 'Helio G85 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']","['₹7,799', '₹']","REDMI 13C (Starfrost White, 128 GB)"
"['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) HD+ Display', '16MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Unisoc T606 Processor', '1 Year on Handset and 6 Months on Accessories']","['₹7,999', '₹']","MOTOROLA G04 (Sea Green, 128 GB)"
